frequencyGHz |S11| <S11 |S21| <S21 |S12| <S12 |S22| <S22
1.0 0.980 -13.0 4.681 169.2 0.010 77.2 0.837 -3.5
2.0 0.969 -25.7 4.581 160.2 0.020 71.8 0.830 -7.2
3.0 0.953 -38.3 4.476 151.2 0.030 67.3 0.819 -10.8
4.0 0.933 -50.7 4.339 142.0 0.037 61.9 0.803 -14.8
5.0 0.908 -63.2 4.206 132.9 0.044 54.3 0.783 -18.9
6.0 0.888 -74.6 4.017 124.3 0.050 48.5 0.765 -22.7
7.0 0.868 -84.9 3.825 116.2 0.054 42.9 0.748 -26.8
8.0 0.850 -94.8 3.635 108.5 0.058 37.9 0.734 -30.6
9.0 0.833 -103.7 3.440 101.2 0.061 32.3 0.720 -34.4
10.0 0.815 -111.8 3.260 94.4 0.062 28.2 0.708 -37.7
11.0 0.807 -119.7 3.108 87.9 0.065 23.9 0.700 -41.1
12.0 0.793 -127.2 2.963 81.8 0.066 20.3 0.691 -43.8
13.0 0.785 -135.1 2.852 75.6 0.067 16.4 0.683 -46.4
14.0 0.775 -143.2 2.749 69.6 0.069 12.9 0.676 -48.4
15.0 0.768 -151.8 2.663 63.4 0.070 9.5 0.664 -50.6
16.0 0.763 -161.0 2.585 57.1 0.071 6.7 0.655 -52.6
17.0 0.762 -170.3 2.515 50.6 0.074 3.4 0.641 -54.7
18.0 0.757 180.0 2.423 44.1 0.076 0.2 0.626 -56.7
19.0 0.765 170.4 2.341 37.4 0.079 -2.4 0.604 -59.5
20.0 0.767 162.2 2.254 30.8 0.081 -6.3 0.587 -63.0
21.0 0.780 155.3 2.138 24.4 0.080 -8.7 0.563 -69.3
22.0 0.791 148.7 2.031 18.3 0.081 -12.2 0.547 -74.8
23.0 0.795 143.4 1.918 12.1 0.080 -14.7 0.541 -81.1
24.0 0.804 138.9 1.824 6.4 0.079 -15.9 0.543 -87.9
25.0 0.811 136.3 1.743 1.5 0.078 -16.3 0.553 -94.0
26.0 0.807 134.9 1.676 -3.1 0.077 -17.8 0.564 -100.7
27.0 0.817 133.7 1.603 -7.8 0.076 -17.2 0.580 -106.7
28.0 0.816 131.8 1.544 -12.8 0.078 -16.7 0.592 -113.0
29.0 0.806 130.5 1.520 -17.2 0.078 -16.7 0.611 -117.6
30.0 0.804 128.8 1.494 -22.0 0.079 -17.3 0.618 -123.0
31.0 0.797 125.3 1.461 -27.2 0.081 -20.4 0.622 -127.6
32.0 0.795 121.1 1.435 -32.1 0.081 -20.9 0.615 -133.0
33.0 0.785 115.8 1.388 -38.3 0.080 -25.9 0.609 -138.5
34.0 0.787 110.2 1.351 -44.9 0.077 -27.8 0.592 -145.1
35.0 0.813 103.3 1.322 -51.4 0.077 -29.9 0.585 -152.5
36.0 0.830 97.4 1.263 -58.0 0.078 -34.9 0.578 -160.7
37.0 0.865 88.9 1.218 -65.3 0.076 -38.4 0.587 -170.1
38.0 0.886 84.5 1.144 -72.1 0.079 -43.6 0.599 -178.7
39.0 0.897 78.4 1.064 -79.8 0.079 -51.9 0.625 172.4
40.0 0.905 74.8 0.975 -86.4 0.078 -60.4 0.651 165.4 
